Street Code,Latitude,Longitude
7100,52.011578,4.357068
7130,34.05509,18.78903
7140,-34.604591,19.39245
7349,-33.513,18.47491
7405,-30.34099,30.120939
7441,-33.851521,18.544149
7455,-33.94492,18.52657
7460,-33.90528,18.55277
7490,-33.94657,18.56483
7493,-33.95042,18.646049
7500,-33.9076,18.58439
7530,-33.919151,18.66535
7550,-33.83009,18.64679
7560,-33.88057,18.68529
7570,-33.81965,18.7032
7579,-33.94042,18.67695
7605,-33.851521,18.544149
7700,-33.97298,18.49798
7708,-33.98406,18.47378
7750,-33.98931,18.58345
7764,-30.95598,22.12319
7780,-33.97373,18.50395
7784,-34.04946,18.64817
7785,-34.04589,18.61943
7798,-31.7556,18.22915
7800,-34.02288,18.48246
7806,-34.02271,18.44965
7880,-34.03435,18.48541
7925,-33.94191,18.46737
7941,-34.04878,18.49674
7945,-34.05844,18.47423
7975,-34.13805,18.43036
8001,-33.93911,18.4159
8005,-33.91963,18.38568
